---MEMBRES---
identifiant,email,grade,mot_de_passe,karma,avatar
marie.dupont,marie.dupont@demo.test,vip,,7116,12
karim.benali,karim.benali@demo.test,moderator,,2400,5
sophie.martin,sophie.martin@demo.test,pro,,1200,8
alex.dubois,alex.dubois@demo.test,pro,,890,14
youssef.idrissi,youssef.idrissi@demo.test,member,,320,5
fatima.zahra,fatima.zahra@demo.test,moderator,,1800,4
pierre.lambert,pierre.lambert@demo.test,member,,180,7
meriem.aloui,meriem.aloui@demo.test,member,,95,14
ahmed.benamar,ahmed.benamar@demo.test,rookie,,15,8
sara.bouzid,sara.bouzid@demo.test,member,,210,2
omar.fassi,omar.fassi@demo.test,pro,,720,4
nadia.benkiran,nadia.benkiran@demo.test,member,,145,7
hassan.tazi,hassan.tazi@demo.test,moderator,,2100,10
leila.magribi,leila.magribi@demo.test,rookie,,8,6
yassin.amrani,yassin.amrani@demo.test,pro,,560,10
amina.hassani,amina.hassani@demo.test,member,,267,5
rachid.benjelloun,rachid.benjelloun@demo.test,pro,,980,12
nora.chraibi,nora.chraibi@demo.test,member,,89,5
mehdi.alaoui,mehdi.alaoui@demo.test,member,,340,1
salma.berrada,salma.berrada@demo.test,rookie,,3,14
