---MEMBRES---
identifiant,email,grade,mot_de_passe,karma,avatar
marie.dupont,marie.dupont@demo.test,vip,,7116,10
karim.benali,karim.benali@demo.test,moderator,,2400,12
sophie.martin,sophie.martin@demo.test,pro,,1200,14
alex.dubois,alex.dubois@demo.test,pro,,890,10
youssef.idrissi,youssef.idrissi@demo.test,member,,320,15
fatima.zahra,fatima.zahra@demo.test,moderator,,1800,5
pierre.lambert,pierre.lambert@demo.test,member,,180,8
meriem.aloui,meriem.aloui@demo.test,member,,95,2
ahmed.benamar,ahmed.benamar@demo.test,rookie,,15,8
sara.bouzid,sara.bouzid@demo.test,member,,210,12
omar.fassi,omar.fassi@demo.test,pro,,720,5
nadia.benkiran,nadia.benkiran@demo.test,member,,145,12
hassan.tazi,hassan.tazi@demo.test,moderator,,2100,7
leila.magribi,leila.magribi@demo.test,rookie,,8,5
yassin.amrani,yassin.amrani@demo.test,pro,,560,9
amina.hassani,amina.hassani@demo.test,member,,267,9
rachid.benjelloun,rachid.benjelloun@demo.test,pro,,980,8
nora.chraibi,nora.chraibi@demo.test,member,,89,8
mehdi.alaoui,mehdi.alaoui@demo.test,member,,340,2
salma.berrada,salma.berrada@demo.test,rookie,,3,10
