identifiant,email,grade,mot_de_passe,karma,avatar
marie.dupont1,marie.dupont1@swiftboard-demo.test,rookie,,3,1
alex.martin2,alex.martin2@swiftboard-demo.test,member,,314,2
sophie.benali3,sophie.benali3@swiftboard-demo.test,member,,248,3
karim.chen4,karim.chen4@swiftboard-demo.test,member,,178,4
julie.lambert5,julie.lambert5@swiftboard-demo.test,rookie,,5,5
thomas.moreau6,thomas.moreau6@swiftboard-demo.test,member,,48,6
nadia.petit7,nadia.petit7@swiftboard-demo.test,pro,,1405,7
lucas.garcia8,lucas.garcia8@swiftboard-demo.test,pro,,1071,8
emma.kim9,emma.kim9@swiftboard-demo.test,member,,375,9
hugo.nguyen10,hugo.nguyen10@swiftboard-demo.test,rookie,,5,10
ines.dubois11,ines.dubois11@swiftboard-demo.test,member,,396,11
mehdi.leroy12,mehdi.leroy12@swiftboard-demo.test,pro,,1435,12
chloe.elamrani13,chloe.elamrani13@swiftboard-demo.test,rookie,,5,13
youssef.smith14,youssef.smith14@swiftboard-demo.test,rookie,,1,14
lina.brown15,lina.brown15@swiftboard-demo.test,moderator,,4740,15
antoine.wilson16,antoine.wilson16@swiftboard-demo.test,pro,,1181,1
sara.laurent17,sara.laurent17@swiftboard-demo.test,rookie,,4,2
omar.roux18,omar.roux18@swiftboard-demo.test,rookie,,1,3
lea.blanc19,lea.blanc19@swiftboard-demo.test,rookie,,2,4
adam.noir20,adam.noir20@swiftboard-demo.test,member,,361,5
fatima.bennani21,fatima.bennani21@swiftboard-demo.test,member,,215,6
rayan.idrissi22,rayan.idrissi22@swiftboard-demo.test,rookie,,3,7
camille.khalfi23,camille.khalfi23@swiftboard-demo.test,vip,,8025,8
amina.mansouri24,amina.mansouri24@swiftboard-demo.test,pro,,1065,9
noah.tazi25,noah.tazi25@swiftboard-demo.test,member,,295,10
zoe.alami26,zoe.alami26@swiftboard-demo.test,member,,219,11
ibrahim.said27,ibrahim.said27@swiftboard-demo.test,member,,165,12
maya.boukari28,maya.boukari28@swiftboard-demo.test,rookie,,1,13
ethan.ouali29,ethan.ouali29@swiftboard-demo.test,pro,,1239,14
aya.fassi30,aya.fassi30@swiftboard-demo.test,rookie,,3,15
louis.ziani31,louis.ziani31@swiftboard-demo.test,member,,229,1
sofia.haddad32,sofia.haddad32@swiftboard-demo.test,member,,134,2
amir.berrada33,amir.berrada33@swiftboard-demo.test,rookie,,0,3
jade.chraibi34,jade.chraibi34@swiftboard-demo.test,member,,29,4
samir.lahlou35,samir.lahlou35@swiftboard-demo.test,member,,75,5
nour.benjelloun36,nour.benjelloun36@swiftboard-demo.test,rookie,,2,6
maxime.alaoui37,maxime.alaoui37@swiftboard-demo.test,rookie,,2,7
salma.bennis38,salma.bennis38@swiftboard-demo.test,rookie,,1,8
yanis.chaoui39,yanis.chaoui39@swiftboard-demo.test,rookie,,3,9
rania.mokhtar40,rania.mokhtar40@swiftboard-demo.test,member,,112,10
enzo.zahra41,enzo.zahra41@swiftboard-demo.test,pro,,931,11
hana.amine42,hana.amine42@swiftboard-demo.test,rookie,,4,12
sami.saber43,sami.saber43@swiftboard-demo.test,rookie,,4,13
dina.kabbaj44,dina.kabbaj44@swiftboard-demo.test,vip,,9878,14
arthur.zouari45,arthur.zouari45@swiftboard-demo.test,rookie,,0,15
leila.belkacem46,leila.belkacem46@swiftboard-demo.test,rookie,,3,1
bilal.mehdi47,bilal.mehdi47@swiftboard-demo.test,rookie,,2,2
eva.rahmani48,eva.rahmani48@swiftboard-demo.test,pro,,1944,3
khalid.khalil49,khalid.khalil49@swiftboard-demo.test,rookie,,1,4
nina.saadi50,nina.saadi50@swiftboard-demo.test,rookie,,3,5
imran.harbi51,imran.harbi51@swiftboard-demo.test,rookie,,5,6
luna.guedira52,luna.guedira52@swiftboard-demo.test,rookie,,1,7
anas.mellouk53,anas.mellouk53@swiftboard-demo.test,rookie,,5,8
yasmin.laraki54,yasmin.laraki54@swiftboard-demo.test,rookie,,2,9
theo.berrada55,theo.berrada55@swiftboard-demo.test,member,,234,10
sonia.akil56,sonia.akil56@swiftboard-demo.test,rookie,,2,11
ismail.bekkali57,ismail.bekkali57@swiftboard-demo.test,rookie,,4,12
clara.debbagh58,clara.debbagh58@swiftboard-demo.test,rookie,,5,13
hamza.laghzaoui59,hamza.laghzaoui59@swiftboard-demo.test,pro,,1147,14
rim.benchetrit60,rim.benchetrit60@swiftboard-demo.test,pro,,1115,15
nathan.tahiri61,nathan.tahiri61@swiftboard-demo.test,member,,327,1
hajar.benomar62,hajar.benomar62@swiftboard-demo.test,rookie,,4,2
walid.elfassi63,walid.elfassi63@swiftboard-demo.test,rookie,,4,3
kenza.kettani64,kenza.kettani64@swiftboard-demo.test,member,,223,4
victor.benhima65,victor.benhima65@swiftboard-demo.test,rookie,,1,5
anissa.laraki66,anissa.laraki66@swiftboard-demo.test,member,,278,6
ilyas.sefrioui67,ilyas.sefrioui67@swiftboard-demo.test,rookie,,5,7
mouna.benkirane68,mouna.benkirane68@swiftboard-demo.test,rookie,,4,8
gabriel.elamraoui69,gabriel.elamraoui69@swiftboard-demo.test,member,,93,9
selma.benmoussa70,selma.benmoussa70@swiftboard-demo.test,rookie,,0,10
issam.cherkaoui71,issam.cherkaoui71@swiftboard-demo.test,moderator,,4622,11
lila.sekkat72,lila.sekkat72@swiftboard-demo.test,moderator,,3739,12
mohamed.berrada73,mohamed.berrada73@swiftboard-demo.test,member,,55,13
